sentence,keywords,code,theme,label
uh fixing stuff,"javascript, node, backend, html",fetch('/api/data'),Databases,0
,,predict(X_test),Web Development,0
working on predictions,"training, accuracy, node",fetch('/api/data'),Machine Learning,0
analyzing data,"prediction, neural network","model.fit(X, y)",Machine Learning,1
,"accuracy, neural network",from tensorflow import keras,Machine Learning,1
analyzing data,"ai, dataset",predict(X_test),Machine Learning,1
creating a responsive layout,"node, javascript",fetch('/api/data'),Web Development,1
handling data storage,"query, table, javascript",document.getElementById('app'),Databases,0
testing a neural network,"prediction, accuracy, model, training",from tensorflow import keras,Web Development,0
uh fixing stuff,"training, prediction, table",UPDATE users SET name='Alex';,Machine Learning,0
working on predictions,"model, dataset, prediction",loss.backward(),Machine Learning,1
training a model,"model, training","model.fit(X, y)",Machine Learning,1
making a login system,"react, node",<div>Hello</div>,Web Development,1
handling data storage,"columns, query, index",DELETE FROM users WHERE id=1;,Databases,1
,"database, index, columns, query",CREATE TABLE users(id INT);,Databases,1
building a website,"backend, frontend, react, api",document.getElementById('app'),Machine Learning,0
writing SQL queries,"index, columns",SELECT * FROM users;,Databases,1
,"database, query",CREATE TABLE users(id INT);,Web Development,0
optimizing database,"query, table, sql",INSERT INTO users VALUES ('John');,Databases,1
working on something,"sql, database, ai",loss.backward(),Databases,0
working on something,"typing, computer",echo 'hi';,Machine Learning,0
analyzing data,"training, neural network, table",INSERT INTO users VALUES ('John');,Machine Learning,0
trying to fix bugs,"database, sql, accuracy","model.fit(X, y)",Databases,0
training a model,"prediction, ai, training",predict(X_test),Machine Learning,1
improving accuracy,"training, neural network, dataset","model.fit(X, y)",Machine Learning,1
coding lang eh,"index, columns, sql",UPDATE users SET name='Alex';,Databases,1
creating a responsive layout,"css, api",fetch('/api/data'),Databases,0
,"sql, index",DELETE FROM users WHERE id=1;,Databases,1
,,UPDATE users SET name='Alex';,Databases,1
building a website,"html, api, model","model.fit(X, y)",Web Development,0
debugging rn,"accuracy, training, ai",,Web Development,0
,"html, javascript, api, frontend",console.log('hello'),Web Development,1
trying to fix bugs,"code, computer",echo 'hi';,Web Development,0
idk doing coding,"programming, typing",int a = 5;,Databases,0
making a login system,,,Machine Learning,0
trying to fix bugs,"programming, code",echo 'hi';,Databases,0
making something idk,"typing, computer",console.log('test'),Machine Learning,0
working on predictions,"neural network, ai, table",CREATE TABLE users(id INT);,Machine Learning,0
uh fixing stuff,"dataset, training, model","model.fit(X, y)",Web Development,0
trying to fix bugs,"table, query",INSERT INTO users VALUES ('John');,Databases,1
working on a web app,"html, javascript, rows",,Web Development,0
debugging rn,"programming, typing",print('hello'),Web Development,0
working on a web app,"backend, javascript, api, frontend",document.getElementById('app'),Web Development,1
optimizing database,"rows, index",UPDATE users SET name='Alex';,Databases,1
making a login system,,,Databases,0
managing tables,"columns, query, css",<div>Hello</div>,Databases,0
debugging rn,"api, css",function App() { return <h1>Hi</h1>; },Machine Learning,0
working on a web app,"html, javascript",<div>Hello</div>,Web Development,1
testing a neural network,"prediction, training, neural network, ai",loss.backward(),Web Development,0
uh fixing stuff,"rows, sql, model",import sklearn,Databases,0
testing a neural network,"training, neural network, prediction, ai",loss.backward(),Databases,0
fetching records,"database, query, css",document.getElementById('app'),Databases,0
fetching records,"index, query, prediction",from tensorflow import keras,Databases,0
managing tables,"query, index, prediction",predict(X_test),Databases,0
uh fixing stuff,"computer, code",int a = 5;,Machine Learning,0
creating a responsive layout,"backend, api",console.log('hello'),Web Development,1
optimizing database,"index, query, database, columns",INSERT INTO users VALUES ('John');,Databases,1
testing a neural network,"training, accuracy, rows",CREATE TABLE users(id INT);,Machine Learning,0
creating a responsive layout,"node, html, prediction",predict(X_test),Web Development,0
trying to fix bugs,"node, react, javascript",<div>Hello</div>,Databases,0
idk doing coding,"typing, code",console.log('test'),Web Development,0
creating a responsive layout,"api, css, frontend",console.log('hello'),Web Development,1
building a website,"javascript, html, database",CREATE TABLE users(id INT);,Web Development,0
fixing frontend bugs,"frontend, api, table",SELECT * FROM users;,Web Development,0
fixing frontend bugs,"css, api, backend",,Web Development,1
fetching records,"index, query",CREATE TABLE users(id INT);,Databases,1
,,fetch('/api/data'),Web Development,1
managing tables,"index, sql, neural network",loss.backward(),Databases,0
handling data storage,"database, sql, prediction",import sklearn,Databases,0
,"backend, node, css, frontend",console.log('hello'),Web Development,1
making something idk,"table, database, query",CREATE TABLE users(id INT);,Databases,1
building a website,"css, javascript, sql",,Web Development,0
uh fixing stuff,"code, programming",print('hello'),Web Development,0
building a website,,loss.backward(),Web Development,0
coding lang eh,"frontend, backend, prediction",predict(X_test),Web Development,0
analyzing data,"training, prediction, ai",import sklearn,Machine Learning,1
testing a neural network,"ai, dataset",,Machine Learning,1
creating a responsive layout,"react, node",document.getElementById('app'),Machine Learning,0
working on something,"javascript, react",function App() { return <h1>Hi</h1>; },Web Development,1
debugging rn,"columns, query, node",function App() { return <h1>Hi</h1>; },Databases,0
debugging rn,"accuracy, dataset, prediction, training",,Machine Learning,1
building a website,"html, frontend",fetch('/api/data'),Web Development,1
,"node, css, database",SELECT * FROM users;,Web Development,0
making a login system,,,Web Development,0
uh fixing stuff,"frontend, css, backend, html",function App() { return <h1>Hi</h1>; },Web Development,1
improving accuracy,"neural network, prediction, table",INSERT INTO users VALUES ('John');,Machine Learning,0
fixing frontend bugs,"html, node, react",function App() { return <h1>Hi</h1>; },Machine Learning,0
optimizing database,"table, database",UPDATE users SET name='Alex';,Databases,1
testing a neural network,"training, neural network",from tensorflow import keras,Machine Learning,1
fixing frontend bugs,"css, javascript, node",<div>Hello</div>,Databases,0
working on predictions,"dataset, neural network","model.fit(X, y)",Machine Learning,1
uh fixing stuff,"computer, programming",print('hello'),Databases,0
testing a neural network,"accuracy, model, react",document.getElementById('app'),Machine Learning,0
uh fixing stuff,"model, accuracy",loss.backward(),Databases,0
,"prediction, model","model.fit(X, y)",Web Development,0
trying to fix bugs,"dataset, training",from tensorflow import keras,Databases,0
working on a web app,"html, frontend, node, css",fetch('/api/data'),Web Development,1
trying to fix bugs,"code, programming",int a = 5;,Web Development,0
managing tables,"index, query",UPDATE users SET name='Alex';,Databases,1
training a model,"prediction, model, backend",,Machine Learning,0
fixing frontend bugs,"node, react, css",function App() { return <h1>Hi</h1>; },Web Development,1
idk doing coding,"code, computer",echo 'hi';,Machine Learning,0
handling data storage,"database, columns, dataset",import sklearn,Databases,0
,"backend, react, api, css",document.getElementById('app'),Web Development,1
working on something,,<div>Hello</div>,Machine Learning,0
analyzing data,"accuracy, dataset",from tensorflow import keras,Machine Learning,1
handling data storage,,DELETE FROM users WHERE id=1;,Databases,1
building a website,"react, css, api, frontend",<div>Hello</div>,Databases,0
training a model,"training, dataset, neural network, ai",from tensorflow import keras,Machine Learning,1
coding lang eh,"table, sql, rows",CREATE TABLE users(id INT);,Machine Learning,0
managing tables,"query, sql, training","model.fit(X, y)",Databases,0
working on something,"ai, neural network",import sklearn,Machine Learning,1
building a website,,function App() { return <h1>Hi</h1>; },Web Development,1
working on predictions,"dataset, prediction, neural network",from tensorflow import keras,Machine Learning,1
creating a responsive layout,,document.getElementById('app'),Machine Learning,0
trying to fix bugs,"sql, table, database, columns",SELECT * FROM users;,Databases,1
working on something,"node, html, api",function App() { return <h1>Hi</h1>; },Web Development,1
making something idk,"css, frontend, html",,Databases,0
optimizing database,"index, table, ai","model.fit(X, y)",Databases,0
handling data storage,"sql, table, index",INSERT INTO users VALUES ('John');,Databases,1
making something idk,"index, database, prediction",predict(X_test),Databases,0
trying to fix bugs,"computer, typing",console.log('test'),Machine Learning,0
optimizing database,"columns, query",DELETE FROM users WHERE id=1;,Machine Learning,0
debugging rn,"api, frontend",console.log('hello'),Web Development,1
making a login system,"api, frontend, ai",import sklearn,Web Development,0
fixing frontend bugs,"javascript, api",console.log('hello'),Databases,0
testing a neural network,"prediction, training, index",INSERT INTO users VALUES ('John');,Machine Learning,0
analyzing data,"accuracy, dataset, css",console.log('hello'),Machine Learning,0
fixing frontend bugs,,<div>Hello</div>,Web Development,1
testing a neural network,"prediction, accuracy, model",import sklearn,Databases,0
training a model,"dataset, model, accuracy, training",loss.backward(),Web Development,0
building a website,"backend, frontend, ai",predict(X_test),Web Development,0
idk doing coding,"query, index, sql",SELECT * FROM users;,Databases,1
,"frontend, api, javascript, html",,Web Development,1
idk doing coding,"rows, columns",INSERT INTO users VALUES ('John');,Machine Learning,0
uh fixing stuff,"index, sql, frontend",<div>Hello</div>,Databases,0
training a model,"neural network, accuracy, dataset",predict(X_test),Databases,0
creating a responsive layout,"react, css, html",function App() { return <h1>Hi</h1>; },Web Development,1
optimizing database,"sql, table",DELETE FROM users WHERE id=1;,Web Development,0
fetching records,"columns, sql, database, query",DELETE FROM users WHERE id=1;,Databases,1
debugging rn,"typing, programming",print('hello'),Web Development,0
,"ai, training, rows",UPDATE users SET name='Alex';,Machine Learning,0
creating a responsive layout,"frontend, backend",document.getElementById('app'),Web Development,1
fetching records,"sql, rows, api",document.getElementById('app'),Databases,0
improving accuracy,"prediction, neural network",from tensorflow import keras,Machine Learning,1
working on predictions,"model, neural network",loss.backward(),Machine Learning,1
fetching records,"database, columns",INSERT INTO users VALUES ('John');,Databases,1
fixing frontend bugs,"backend, node",console.log('hello'),Web Development,1
creating a responsive layout,"backend, html, ai",loss.backward(),Web Development,0
coding lang eh,"ai, dataset, training, accuracy",loss.backward(),Databases,0
handling data storage,"rows, query, model",loss.backward(),Databases,0
analyzing data,"model, ai, node",console.log('hello'),Machine Learning,0
creating a responsive layout,"api, node, html",console.log('hello'),Web Development,1
,,loss.backward(),Web Development,0
building a website,"css, javascript",<div>Hello</div>,Web Development,1
working on a web app,"html, frontend, javascript, react",function App() { return <h1>Hi</h1>; },Databases,0
training a model,"accuracy, training, dataset, neural network","model.fit(X, y)",Machine Learning,1
coding lang eh,"programming, typing",print('hello'),Databases,0
managing tables,"database, index, sql",CREATE TABLE users(id INT);,Databases,1
debugging rn,"code, computer",echo 'hi';,Web Development,0
handling data storage,"index, database",INSERT INTO users VALUES ('John');,Databases,1
handling data storage,"sql, table",INSERT INTO users VALUES ('John');,Databases,1
idk doing coding,"code, computer",print('hello'),Machine Learning,0
working on a web app,"node, react, table",SELECT * FROM users;,Web Development,0
handling data storage,"table, database",UPDATE users SET name='Alex';,Databases,1
testing a neural network,"dataset, accuracy",predict(X_test),Machine Learning,1
making something idk,"model, neural network, index",INSERT INTO users VALUES ('John');,Machine Learning,0
creating a responsive layout,"javascript, css, react",console.log('hello'),Web Development,1
working on a web app,"react, javascript, sql",UPDATE users SET name='Alex';,Web Development,0
analyzing data,"prediction, training, query",DELETE FROM users WHERE id=1;,Machine Learning,0
working on something,"code, programming",int a = 5;,Web Development,0
analyzing data,"accuracy, neural network, columns",CREATE TABLE users(id INT);,Machine Learning,0
testing a neural network,"prediction, neural network, accuracy",from tensorflow import keras,Machine Learning,1
building a website,"backend, css",fetch('/api/data'),Machine Learning,0
optimizing database,"sql, columns, database, query",DELETE FROM users WHERE id=1;,Machine Learning,0
fetching records,"database, index",UPDATE users SET name='Alex';,Web Development,0
debugging rn,"javascript, css, prediction",predict(X_test),Web Development,0
training a model,,import sklearn,Machine Learning,1
fixing frontend bugs,"frontend, react, backend, javascript",<div>Hello</div>,Web Development,1
working on something,"sql, columns",CREATE TABLE users(id INT);,Databases,1
testing a neural network,"model, prediction",loss.backward(),Machine Learning,1
debugging rn,"index, query, frontend",<div>Hello</div>,Databases,0
managing tables,"columns, sql, react",,Databases,0
debugging rn,"sql, index, javascript",console.log('hello'),Databases,0
improving accuracy,"dataset, neural network, training",from tensorflow import keras,Databases,0
uh fixing stuff,"programming, typing",print('hello'),Databases,0
working on a web app,"html, frontend",document.getElementById('app'),Machine Learning,0
idk doing coding,"neural network, dataset, prediction",import sklearn,Databases,0
idk doing coding,"api, css, html",console.log('hello'),Databases,0
fixing frontend bugs,"css, api",document.getElementById('app'),Web Development,1
,"react, frontend",fetch('/api/data'),Web Development,1
working on something,"programming, computer",print('hello'),Web Development,0
working on a web app,"javascript, css, api, node",console.log('hello'),Databases,0
testing a neural network,,loss.backward(),Machine Learning,1
,"neural network, model",loss.backward(),Databases,0
fixing frontend bugs,"react, node, sql",CREATE TABLE users(id INT);,Web Development,0
working on a web app,"frontend, html, rows",DELETE FROM users WHERE id=1;,Web Development,0
working on predictions,"training, prediction, table",CREATE TABLE users(id INT);,Machine Learning,0
making something idk,,<div>Hello</div>,Web Development,1
debugging rn,"programming, code",print('hello'),Web Development,0
writing SQL queries,"columns, table, javascript",document.getElementById('app'),Databases,0
,"prediction, accuracy, html",,Machine Learning,0
testing a neural network,"dataset, prediction, training, ai",loss.backward(),Machine Learning,1
,"database, table",INSERT INTO users VALUES ('John');,Databases,1
fixing frontend bugs,"javascript, react, neural network",loss.backward(),Web Development,0
optimizing database,"index, table, query, columns",,Databases,1
,"html, node, backend",function App() { return <h1>Hi</h1>; },Web Development,1
optimizing database,,INSERT INTO users VALUES ('John');,Databases,1
managing tables,"query, columns, accuracy",,Databases,0
making a login system,"frontend, api, neural network",from tensorflow import keras,Web Development,0
handling data storage,"table, columns, rows",DELETE FROM users WHERE id=1;,Databases,1
creating a responsive layout,"backend, javascript",console.log('hello'),Web Development,1
fetching records,,UPDATE users SET name='Alex';,Databases,1
fixing frontend bugs,"javascript, html, backend",document.getElementById('app'),Web Development,1
handling data storage,"query, table, columns, database",SELECT * FROM users;,Machine Learning,0
working on predictions,,console.log('hello'),Machine Learning,0
trying to fix bugs,"prediction, ai, model, accuracy",loss.backward(),Databases,0
training a model,"ai, model, neural network, accuracy",import sklearn,Machine Learning,1
managing tables,"columns, database, backend",,Databases,0
fixing frontend bugs,"css, node, prediction",predict(X_test),Web Development,0
working on predictions,"accuracy, training, dataset",from tensorflow import keras,Web Development,0
improving accuracy,"dataset, ai, sql",INSERT INTO users VALUES ('John');,Machine Learning,0
idk doing coding,"programming, computer",print('hello'),Databases,0
uh fixing stuff,"html, node, frontend, api",function App() { return <h1>Hi</h1>; },Databases,0
idk doing coding,"backend, frontend, react",fetch('/api/data'),Web Development,1
handling data storage,"rows, database, javascript",,Databases,0
working on predictions,"dataset, accuracy, columns",UPDATE users SET name='Alex';,Machine Learning,0
optimizing database,"index, rows",SELECT * FROM users;,Databases,1
,"backend, frontend, react, node",<div>Hello</div>,Web Development,1
working on something,"node, api",console.log('hello'),Web Development,1
,"prediction, ai",import sklearn,Machine Learning,1
improving accuracy,"neural network, model, react",console.log('hello'),Machine Learning,0
optimizing database,"sql, query, rows, columns",INSERT INTO users VALUES ('John');,Databases,1
idk doing coding,"computer, programming",print('hello'),Machine Learning,0
trying to fix bugs,"rows, table",DELETE FROM users WHERE id=1;,Machine Learning,0
debugging rn,"rows, query",DELETE FROM users WHERE id=1;,Machine Learning,0
debugging rn,"computer, programming",echo 'hi';,Machine Learning,0
analyzing data,"neural network, model, accuracy",loss.backward(),Databases,0
fetching records,"columns, rows, sql, database",SELECT * FROM users;,Databases,1
working on predictions,"model, dataset, table",INSERT INTO users VALUES ('John');,Machine Learning,0
optimizing database,"table, index, rows",DELETE FROM users WHERE id=1;,Web Development,0
training a model,,INSERT INTO users VALUES ('John');,Machine Learning,0
working on a web app,,document.getElementById('app'),Web Development,1
making a login system,"javascript, html, prediction",predict(X_test),Web Development,0
idk doing coding,"typing, computer",print('hello'),Databases,0
writing SQL queries,"query, sql",DELETE FROM users WHERE id=1;,Databases,1
fixing frontend bugs,"node, backend, javascript, frontend",<div>Hello</div>,Machine Learning,0
working on a web app,"css, react, frontend",document.getElementById('app'),Web Development,1
fixing frontend bugs,"html, javascript, node, css",fetch('/api/data'),Databases,0
optimizing database,"database, table, ai",loss.backward(),Databases,0
working on predictions,"training, dataset, query",SELECT * FROM users;,Machine Learning,0
coding lang eh,,fetch('/api/data'),Web Development,1
,"backend, react, javascript, html",console.log('hello'),Web Development,1
improving accuracy,"accuracy, training, neural network",from tensorflow import keras,Machine Learning,1
testing a neural network,"dataset, prediction, model, ai",from tensorflow import keras,Machine Learning,1
optimizing database,"table, database, query",UPDATE users SET name='Alex';,Databases,1
working on a web app,,document.getElementById('app'),Web Development,1
making something idk,"computer, programming",print('hello'),Machine Learning,0
,"index, columns, html",,Databases,0
debugging rn,"training, neural network, dataset",loss.backward(),Databases,0
analyzing data,"prediction, neural network, accuracy",from tensorflow import keras,Machine Learning,1
debugging rn,"api, css, backend",document.getElementById('app'),Web Development,1
idk doing coding,,INSERT INTO users VALUES ('John');,Databases,1
making something idk,"database, query, table",DELETE FROM users WHERE id=1;,Databases,1
creating a responsive layout,"react, api, node, backend",<div>Hello</div>,Machine Learning,0
training a model,"prediction, ai",from tensorflow import keras,Machine Learning,1
working on predictions,"prediction, neural network, frontend",<div>Hello</div>,Machine Learning,0
trying to fix bugs,"programming, code",int a = 5;,Machine Learning,0
making a login system,"css, react, node, javascript",,Web Development,1
debugging rn,"prediction, model",from tensorflow import keras,Machine Learning,1
trying to fix bugs,"code, programming",int a = 5;,Machine Learning,0
working on predictions,"neural network, prediction","model.fit(X, y)",Web Development,0
idk doing coding,"typing, code",print('hello'),Machine Learning,0
working on a web app,"html, react, backend, css",document.getElementById('app'),Databases,0
analyzing data,"neural network, accuracy, dataset, prediction",from tensorflow import keras,Web Development,0
improving accuracy,"ai, model, accuracy",predict(X_test),Machine Learning,1
fixing frontend bugs,"react, frontend, javascript, node",fetch('/api/data'),Web Development,1
making a login system,"react, javascript, index",INSERT INTO users VALUES ('John');,Web Development,0
fetching records,"table, query",CREATE TABLE users(id INT);,Machine Learning,0
managing tables,"rows, query",INSERT INTO users VALUES ('John');,Web Development,0
testing a neural network,"prediction, neural network",predict(X_test),Machine Learning,1
fetching records,"table, index, react",function App() { return <h1>Hi</h1>; },Databases,0
testing a neural network,"model, accuracy",,Machine Learning,1
making a login system,"html, node",,Web Development,1
improving accuracy,"ai, accuracy, react",console.log('hello'),Machine Learning,0
building a website,"html, api, table",SELECT * FROM users;,Web Development,0
working on predictions,"model, accuracy",,Machine Learning,1
optimizing database,"index, columns, prediction",from tensorflow import keras,Databases,0
handling data storage,"columns, database, sql, rows",SELECT * FROM users;,Machine Learning,0
uh fixing stuff,"programming, code",int a = 5;,Databases,0
uh fixing stuff,"programming, typing",echo 'hi';,Machine Learning,0
optimizing database,,import sklearn,Databases,0
making a login system,"react, css, backend, api",<div>Hello</div>,Web Development,1
improving accuracy,"accuracy, dataset, ai",predict(X_test),Machine Learning,1
handling data storage,"database, columns",CREATE TABLE users(id INT);,Web Development,0
,"react, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
handling data storage,"table, rows",DELETE FROM users WHERE id=1;,Databases,1
creating a responsive layout,"node, react, neural network",predict(X_test),Web Development,0
uh fixing stuff,"code, programming",console.log('test'),Databases,0
idk doing coding,"computer, code",print('hello'),Machine Learning,0
working on something,"typing, computer",echo 'hi';,Databases,0
coding lang eh,"rows, query, training","model.fit(X, y)",Databases,0
,"index, sql",INSERT INTO users VALUES ('John');,Databases,1
,"javascript, react, training",predict(X_test),Web Development,0
working on something,"code, computer",console.log('test'),Web Development,0
making something idk,"node, javascript, training",loss.backward(),Web Development,0
building a website,"html, node",document.getElementById('app'),Databases,0
uh fixing stuff,"programming, typing",console.log('test'),Databases,0
handling data storage,"rows, columns, ai",,Databases,0
trying to fix bugs,"computer, programming",console.log('test'),Databases,0
coding lang eh,"ai, accuracy","model.fit(X, y)",Databases,0
improving accuracy,"prediction, training, dataset, ai","model.fit(X, y)",Databases,0
fetching records,"index, sql, table, database",INSERT INTO users VALUES ('John');,Web Development,0
,"neural network, prediction, sql",CREATE TABLE users(id INT);,Machine Learning,0
managing tables,"query, index, database, table",SELECT * FROM users;,Databases,1
working on predictions,"prediction, accuracy",,Machine Learning,1
writing SQL queries,"table, query, backend",,Databases,0
handling data storage,"columns, query, sql, table",INSERT INTO users VALUES ('John');,Machine Learning,0
working on predictions,"ai, prediction, neural network","model.fit(X, y)",Machine Learning,1
training a model,"dataset, accuracy",import sklearn,Databases,0
fetching records,"rows, columns, training",loss.backward(),Databases,0
making a login system,"backend, css",function App() { return <h1>Hi</h1>; },Machine Learning,0
testing a neural network,"accuracy, model, react",<div>Hello</div>,Machine Learning,0
,"database, index, api",function App() { return <h1>Hi</h1>; },Databases,0
handling data storage,"table, rows, index",DELETE FROM users WHERE id=1;,Databases,1
,"training, ai, react",function App() { return <h1>Hi</h1>; },Machine Learning,0
handling data storage,"query, table, api",console.log('hello'),Databases,0
writing SQL queries,"rows, database, html",console.log('hello'),Databases,0
building a website,"frontend, css, sql",INSERT INTO users VALUES ('John');,Web Development,0
building a website,,document.getElementById('app'),Web Development,1
working on predictions,"prediction, dataset, javascript",console.log('hello'),Machine Learning,0
analyzing data,"dataset, model",loss.backward(),Machine Learning,1
coding lang eh,"model, ai, training, prediction","model.fit(X, y)",Databases,0
improving accuracy,"prediction, model",from tensorflow import keras,Machine Learning,1
writing SQL queries,"table, columns, database",CREATE TABLE users(id INT);,Web Development,0
improving accuracy,"model, dataset, javascript",function App() { return <h1>Hi</h1>; },Machine Learning,0
,"sql, columns, table",,Databases,1
writing SQL queries,"columns, table, rows, index",DELETE FROM users WHERE id=1;,Databases,1
,"sql, index, dataset",from tensorflow import keras,Databases,0
handling data storage,"index, sql, html",<div>Hello</div>,Databases,0
building a website,"backend, css, html, javascript",document.getElementById('app'),Machine Learning,0
improving accuracy,"prediction, ai, backend",document.getElementById('app'),Machine Learning,0
working on something,"code, programming",console.log('test'),Databases,0
training a model,"model, ai","model.fit(X, y)",Machine Learning,1
trying to fix bugs,"code, typing",print('hello'),Web Development,0
coding lang eh,"code, computer",print('hello'),Web Development,0
debugging rn,"css, javascript, columns",INSERT INTO users VALUES ('John');,Web Development,0
building a website,"html, react",function App() { return <h1>Hi</h1>; },Web Development,1
coding lang eh,"javascript, react, node",<div>Hello</div>,Web Development,1
training a model,"training, accuracy",predict(X_test),Machine Learning,1
handling data storage,"rows, columns, sql, table",,Web Development,0
managing tables,"query, index, table",,Databases,1
managing tables,"query, table, database, columns",SELECT * FROM users;,Databases,1
debugging rn,"computer, typing",console.log('test'),Web Development,0
idk doing coding,"table, columns, accuracy","model.fit(X, y)",Databases,0
analyzing data,"prediction, neural network, dataset, accuracy",from tensorflow import keras,Machine Learning,1
training a model,"ai, accuracy","model.fit(X, y)",Machine Learning,1
creating a responsive layout,"react, frontend, sql",INSERT INTO users VALUES ('John');,Web Development,0
training a model,"training, neural network, backend",function App() { return <h1>Hi</h1>; },Machine Learning,0
testing a neural network,"prediction, dataset, accuracy",predict(X_test),Web Development,0
handling data storage,"rows, table, react",document.getElementById('app'),Databases,0
,"columns, rows, index",SELECT * FROM users;,Machine Learning,0
creating a responsive layout,"backend, javascript",function App() { return <h1>Hi</h1>; },Web Development,1
writing SQL queries,"columns, table",CREATE TABLE users(id INT);,Databases,1
trying to fix bugs,"ai, neural network, prediction, accuracy",,Web Development,0
,"prediction, neural network, training, accuracy",from tensorflow import keras,Machine Learning,1
managing tables,"query, columns, table, index",,Machine Learning,0
making something idk,"dataset, ai, columns",UPDATE users SET name='Alex';,Machine Learning,0
debugging rn,"rows, sql, node",fetch('/api/data'),Databases,0
building a website,"html, react, accuracy",import sklearn,Web Development,0
building a website,"html, backend, prediction",predict(X_test),Web Development,0
,"css, react",<div>Hello</div>,Web Development,1
writing SQL queries,"table, rows",INSERT INTO users VALUES ('John');,Databases,1
making something idk,"computer, programming",int a = 5;,Databases,0
,"index, sql",INSERT INTO users VALUES ('John');,Databases,1
creating a responsive layout,"backend, frontend",console.log('hello'),Databases,0
working on predictions,"dataset, accuracy, model",import sklearn,Databases,0
idk doing coding,"computer, typing",console.log('test'),Web Development,0
working on something,"html, frontend, css",,Web Development,1
,"javascript, html",function App() { return <h1>Hi</h1>; },Web Development,1
creating a responsive layout,"node, javascript, html, backend",<div>Hello</div>,Machine Learning,0
fetching records,"index, columns, sql",DELETE FROM users WHERE id=1;,Databases,1
trying to fix bugs,"table, rows",INSERT INTO users VALUES ('John');,Web Development,0
managing tables,"columns, query, backend",fetch('/api/data'),Databases,0
making something idk,"typing, programming",echo 'hi';,Web Development,0
creating a responsive layout,"css, react",function App() { return <h1>Hi</h1>; },Web Development,1
writing SQL queries,,CREATE TABLE users(id INT);,Databases,1
trying to fix bugs,"computer, code",int a = 5;,Machine Learning,0
managing tables,"rows, query, table, index",UPDATE users SET name='Alex';,Databases,1
coding lang eh,,CREATE TABLE users(id INT);,Databases,1
fixing frontend bugs,"javascript, frontend",function App() { return <h1>Hi</h1>; },Web Development,1
creating a responsive layout,"react, backend",fetch('/api/data'),Web Development,1
writing SQL queries,"sql, rows, index",INSERT INTO users VALUES ('John');,Databases,1
,"javascript, frontend",console.log('hello'),Web Development,1
training a model,"training, dataset, prediction",,Databases,0
training a model,"prediction, accuracy, neural network, dataset",predict(X_test),Web Development,0
testing a neural network,"accuracy, model",loss.backward(),Machine Learning,1
training a model,"accuracy, training",loss.backward(),Machine Learning,1
creating a responsive layout,"css, node, query",SELECT * FROM users;,Web Development,0
uh fixing stuff,"programming, code",echo 'hi';,Databases,0
fetching records,"columns, table, react",console.log('hello'),Databases,0
making a login system,"frontend, backend, api, node",<div>Hello</div>,Machine Learning,0
fetching records,"columns, rows, dataset",loss.backward(),Databases,0
analyzing data,"dataset, training, columns",UPDATE users SET name='Alex';,Machine Learning,0
fetching records,,DELETE FROM users WHERE id=1;,Databases,1
fetching records,"database, rows, backend",document.getElementById('app'),Databases,0
building a website,"backend, javascript, model",loss.backward(),Web Development,0
debugging rn,"sql, query, rows",SELECT * FROM users;,Databases,1
uh fixing stuff,"rows, sql, query",SELECT * FROM users;,Machine Learning,0
making a login system,"frontend, react, api",document.getElementById('app'),Web Development,1
working on something,"model, ai",predict(X_test),Machine Learning,1
fixing frontend bugs,"html, backend",document.getElementById('app'),Databases,0
making something idk,"programming, code",echo 'hi';,Web Development,0
idk doing coding,"computer, code",int a = 5;,Web Development,0
debugging rn,"columns, rows, query, index",DELETE FROM users WHERE id=1;,Databases,1
testing a neural network,"accuracy, ai, query",,Machine Learning,0
working on something,"prediction, ai, training",predict(X_test),Web Development,0
fetching records,"index, table, columns",CREATE TABLE users(id INT);,Web Development,0
idk doing coding,"accuracy, prediction",from tensorflow import keras,Web Development,0
working on a web app,"api, frontend, backend, html",<div>Hello</div>,Web Development,1
testing a neural network,"neural network, model, ai",predict(X_test),Databases,0
analyzing data,"dataset, prediction, model",from tensorflow import keras,Machine Learning,1
analyzing data,"accuracy, training, model, ai",import sklearn,Machine Learning,1
building a website,"javascript, backend",fetch('/api/data'),Web Development,1
working on predictions,"dataset, accuracy, neural network",loss.backward(),Databases,0
managing tables,"sql, table, columns, query",DELETE FROM users WHERE id=1;,Databases,1
building a website,"html, react, backend",<div>Hello</div>,Web Development,1
uh fixing stuff,,import sklearn,Machine Learning,1
,"accuracy, prediction, dataset, training","model.fit(X, y)",Machine Learning,1
working on predictions,"dataset, prediction, frontend",fetch('/api/data'),Machine Learning,0
fixing frontend bugs,"api, backend",console.log('hello'),Databases,0
training a model,"ai, prediction",predict(X_test),Machine Learning,1
working on something,"typing, code",echo 'hi';,Databases,0
handling data storage,"rows, query, table",SELECT * FROM users;,Web Development,0
analyzing data,"neural network, dataset",loss.backward(),Databases,0
uh fixing stuff,"typing, programming",int a = 5;,Databases,0
training a model,"dataset, training, database",,Machine Learning,0
fetching records,"table, columns, ai",import sklearn,Databases,0
fixing frontend bugs,"react, node",<div>Hello</div>,Web Development,1
,"rows, table, query, columns",DELETE FROM users WHERE id=1;,Machine Learning,0
writing SQL queries,"columns, rows, dataset",,Databases,0
,,,Web Development,0
